btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_n_unique_addresses,btc_n_transactions,btc_estimated_transaction_volume,btc_transaction_to_trade_ratio,btc_market_price_label
-2.0428387534,-0.5149835229,-0.4137673068,-0.9286631493,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,0.3993516022,-0.9048943625,-0.9291738478,-0.7130791885,1.5348979145,0
-2.0409095572,-0.5149835229,-0.4137673068,-0.9286649169,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9051707718,-0.9296985224,-0.7132640549,1.5375458999,0
-2.0388480733,-0.5149835229,-0.4137673068,-0.9286631711,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,0.3272044255,-0.9050989054,-0.929562107,-0.7130791885,1.5368574238,0
-2.0371724286,-0.5149835229,-0.4137673068,-0.9286653596,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9052979201,-0.9299398727,-0.7132640549,1.5387639735,0
-2.0353093763,-0.5149835229,-0.4137673068,-0.9286658558,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9052039409,-0.9297614834,-0.7132640549,1.5378636583,0
-2.0337219234,-0.5149835229,-0.4137673068,-0.9286657299,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9053421455,-0.9300238207,-0.7132640549,1.5391876512,0
-2.0319911589,-0.5149835229,-0.4137673068,-0.928661051,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,30.5763707236,-0.9052592228,-0.9298769118,-0.7132603576,1.5384462152,0
-2.0302383463,-0.5149835229,-0.4137673068,-0.9286656385,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9052592228,-0.9298664183,-0.7132640549,1.5383932554,0
-2.028375294,-0.5149835229,-0.4137673068,-0.928653488,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,0.0284761152,-0.9051984127,-0.9297509899,-0.7123397226,1.5375988597,0
-2.026853985,-0.5149835229,-0.4137673068,-0.9286653324,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9053753147,-0.9300867816,-0.7132640549,1.5395054095,0
-2.0250460526,-0.5149835229,-0.4137673068,-0.9286657967,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9052315818,-0.9298139508,-0.7132640549,1.5381284568,0
-2.023326312,-0.5149835229,-0.4137673068,-0.9286656359,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9052758073,-0.9298978988,-0.7132640549,1.5385521346,0
-2.0216727153,-0.5149835229,-0.4137673068,-0.9286658732,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9053089764,-0.9299608597,-0.7132640549,1.5388698929,0
-2.0203608619,-0.5149835229,-0.4137673068,-0.9286660355,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9054803502,-0.930286158,-0.7132640549,1.5405116439,0
-2.0189277448,-0.5149835229,-0.4137673068,-0.9286584369,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,0.0893137345,-0.9054084838,-0.9301497426,-0.712894322,1.5398231676,0
-2.0171308363,-0.5149835229,-0.4137673068,-0.9286657286,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.90523711,-0.9298244443,-0.7132640549,1.5381814166,0
-2.0150362805,-0.5149835229,-0.4137673068,-0.9285113716,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.036539773,-0.9050712644,-0.9295201331,-0.6364409492,1.5147156564,0
-2.012743293,-0.5149835229,-0.4137673068,-0.9286656943,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9049883416,-0.9293522372,-0.7132640549,1.5357982295,0
-2.0110015045,-0.5149835229,-0.4137673068,-0.9286655865,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9052647509,-0.9298769118,-0.7132640549,1.5384462152,0
